1504705500.0,4484.17000000,4502.77000000,4484.17000000,4502.77000000,7.00890900,1504706399999,31497.80771243,99,2.88882100,12995.10278184,11392.97539216
1504706400.0,4490.01000000,4512.00000000,4490.01000000,4510.60000000,6.14143400,1504707299999,27656.35823937,48,2.91071000,13119.73985647,11366.32940725
1504707300.0,4500.01000000,4529.46000000,4500.01000000,4529.46000000,7.77429600,1504708199999,35087.27234630,78,4.21326900,19019.84920538,11303.26360493
1504708200.0,4538.07000000,4546.57000000,4482.05000000,4510.97000000,18.28787300,1504709099999,82611.37473370,195,13.07969500,59096.92772676,11236.84411858
1504709100.0,4500.49000000,4532.34000000,4466.20000000,4517.97000000,12.71759000,1504709999999,57267.00745586,168,7.59389200,34263.74855510,11228.71168933
1504710000.0,4503.00000000,4533.99000000,4488.33000000,4521.77000000,12.30092800,1504710899999,55490.29324994,97,6.52855000,29514.03197097,11224.25862446
1504710900.0,4517.50000000,4570.91000000,4517.50000000,4556.16000000,11.92738000,1504711799999,54216.37324404,99,8.54506500,38851.74954280,11214.42649147
1504711800.0,4543.11000000,4590.00000000,4543.11000000,4590.00000000,6.91095000,1504712699999,31482.05103234,64,4.99614200,22774.27168871,11188.39107217
1504712700.0,4580.78000000,4619.47000000,4580.78000000,4619.43000000,12.72351000,1504713600000,58472.04635536,181,9.48727400,43615.02878439,11146.71897399
1504738800.0,4619.43000000,4638.09000000,4619.43000000,4619.64000000,3.32673700,1504739699999,15374.88306573,6,3.32673700,15374.88306573,11195.96334252
1504739700.0,4610.00000000,4619.64000000,4610.00000000,4619.64000000,4.99080500,1504740599999,23048.68911440,4,0.99080500,4570.12911440,11188.91179425
1504740600.0,4619.64000000,4662.87000000,4619.64000000,4662.87000000,1.60283600,1504741499999,7430.56377542,16,0.67283600,3134.29857542,11161.09875151
1504741500.0,4619.74000000,4625.00000000,4619.74000000,4619.77000000,6.82322000,1504742399999,31524.97462502,17,0.62800000,2904.50000000,11138.37278647
1504742400.0,4619.77000000,4661.93000000,4619.77000000,4661.85000000,1.12208900,1504743299999,5185.42852489,4,0.05568800,258.90117712,11131.59954787
1504743300.0,4660.99000000,4660.99000000,4538.10000000,4639.09000000,3.87400400,1504744199999,17664.22725907,16,0.60895900,2809.12514570,11124.92681594
1504744200.0,4599.78000000,4599.78000000,4599.78000000,4599.78000000,1.29273400,1504745099999,5946.29199852,1,1.29273400,5946.29199852,11105.50412631
1504745100.0,4599.78000000,4599.78000000,4599.78000000,4599.78000000,0.00000000,1504745999999,0.00000000,0,0.00000000,0.00000000,11169.30230545
1504746000.0,4540.01000000,4540.01000000,4533.69000000,4533.69000000,3.44543400,1504746899999,15641.90182000,3,0.00000000,0.00000000,11257.43208838
1504746900.0,4525.83000000,4525.83000000,4451.93000000,4451.93000000,6.20698800,1504747799999,27869.40092791,14,0.19347700,872.56772661,11246.22967344
1504747800.0,4460.00000000,4546.69000000,4451.93000000,4451.93000000,4.56205900,1504748699999,20410.94150432,13,0.36640200,1646.72507000,11237.69906290
1504748700.0,4478.29000000,4478.29000000,4453.00000000,4453.01000000,1.57667000,1504749599999,7045.84658874,8,0.91004700,4071.66479383,11216.29028723
1504749600.0,4465.64000000,4477.53000000,4438.19000000,4477.51000000,7.49391500,1504750499999,33445.52083940,43,3.85335500,17232.58907746,11282.96650533
1504750500.0,4477.60000000,4527.10000000,4472.92000000,4527.10000000,13.17172300,1504751399999,59352.34562071,53,10.10182100,45538.67866149,11279.36736459
1504751400.0,4527.10000000,4527.10000000,4497.05000000,4498.01000000,3.84615400,1504752299999,17338.21986708,34,1.24734800,5633.21029373,11238.21367258
1504752300.0,4505.00000000,4513.52000000,4498.01000000,4499.95000000,4.87289300,1504753199999,21959.51759023,37,1.49422300,6734.94751452,11231.57008174
1504753200.0,4507.48000000,4541.82000000,4499.97000000,4541.82000000,6.25337300,1504754099999,28204.40025753,43,3.95051200,17826.44642303,11229.13010087
1504754100.0,4513.54000000,4572.47000000,4513.54000000,4572.47000000,12.94155900,1504754999999,58843.98678576,42,8.92323100,40624.94646449,11211.62848564
1504755000.0,4527.36000000,4537.25000000,4499.99000000,4499.99000000,8.59799400,1504755899999,38848.12740226,57,4.40659600,19914.46914338,11181.53479482
1504755900.0,4495.00000000,4500.00000000,4484.03000000,4484.03000000,7.91749700,1504756799999,35538.34579475,43,2.05227300,9218.09738410,11197.11856886
1504756800.0,4489.48000000,4499.99000000,4482.01000000,4499.99000000,3.85866900,1504757699999,17321.77440702,39,0.86666400,3893.40034036,11172.52945867
1504757700.0,4490.99000000,4501.00000000,4482.01000000,4491.00000000,3.07759900,1504758599999,13819.68670305,21,0.80789400,3628.14095509,11172.68559120
1504758600.0,4482.02000000,4537.22000000,4482.00000000,4537.22000000,6.75652200,1504759499999,30330.07548293,21,1.54671000,6958.68296860,11155.99922749
